TargetName	FLT_TX_2 | 003 | Full ROI	FLT_TX_2 | 007 | Full ROI	FLT_TX_2 | 011 | Full ROI	GC_SAL_2 | 001 | Full ROI	GC_SAL_2 | 005 | Full ROI	GC_SAL_2 | 009 | Full ROI	GC_TX_2 | 003 | Full ROI	GC_TX_2 | 007 | Full ROI	GC_TX_2 | 011 | Full ROI	FLT_SAL_2 | 003 | Full ROI	FLT_SAL_2 | 007 | Full ROI	FLT_SAL_2 | 011 | Full ROI
Bod1l	34.30553108	41.80192491	33.76950716	41.07635958	35.31451729	29.42876441	37.85970772	30.38792414	36.38465418	25.72914831	35.73492821	29.68006622
Pomt1	32.87613395	24.01387176	27.51589472	31.59719968	24.32777858	32.96021614	23.79753057	23.7174042	33.65580511	34.30553108	27.15854544	27.43157635
Gm13271	18.58216267	26.68207973	35.02022965	16.85183983	22.75824448	30.60591498	14.06217715	27.42324861	31.8365724	27.44442486	29.30264113	19.78671081
Des	11.43517703	22.23506644	17.51011482	28.43747971	16.48010807	29.42876441	22.71582463	22.97623532	13.64424532	21.1550775	26.44384687	25.18308649
Slc43a2	27.15854544	26.68207973	30.0173397	28.43747971	34.52975024	31.78306556	34.61458992	28.90558637	32.74618876	32.01849568	38.59372247	35.97583784
Olfr96	31.44673682	21.34566378	21.26228228	14.74535985	26.68207973	27.07446326	19.47070683	18.52922203	20.92117615	25.72914831	23.58505262	23.38429459
Ndufaf6	22.87035405	30.23969036	28.76661721	25.27775974	25.11254563	48.26317363	35.69629585	25.19974197	36.38465418	29.73146027	35.73492821	31.47885811
Xkr4	34.30553108	35.57610631	37.52167462	45.28931954	40.80788665	23.54301153	24.8792365	37.05844407	41.8423523	30.87497797	30.73203826	33.27765
Ttll3	17.15276554	26.68207973	30.0173397	18.95831981	21.18871037	22.36586095	19.47070683	20.75272868	35.47503782	20.0115598	21.44095693	30.12976419
Grwd1	37.16432534	17.78805315	12.50722487	22.11803978	22.75824448	15.30295749	18.38900089	26.68207973	23.65002521	18.86804209	12.86457416	23.38429459
Irgc1	21.44095693	16.8986505	21.26228228	23.17127977	28.25161383	25.89731268	22.71582463	15.56454651	21.83079251	22.2985952	17.8674641	23.83399257
Pla2g4f	17.15276554	20.45626113	22.51300477	26.33099973	17.26487512	22.36586095	27.04264837	17.78805315	27.28849063	28.01618372	18.58216267	24.28369054
Cryba4	27.15854544	24.01387176	25.01444975	27.38423972	30.60591498	25.89731268	27.04264837	25.19974197	22.74040886	29.73146027	29.30264113	25.18308649
Ciapin1	34.30553108	40.91252225	37.52167462	26.33099973	32.17544909	35.31451729	29.20606024	27.42324861	38.20388689	34.30553108	35.02022965	34.62674392
Atxn1l	30.0173397	24.90327441	23.76372726	20.0115598	26.68207973	23.54301153	19.47070683	24.45857309	25.46925792	30.30321912	16.43806698	29.23036824
Ccdc84	32.87613395	24.01387176	33.76950716	44.23607955	27.46684678	30.60591498	20.55241276	25.19974197	34.56542147	22.87035405	25.01444975	26.53218041
Fkbp11	11.43517703	17.78805315	21.26228228	26.33099973	21.97347742	22.36586095	30.28776618	22.97623532	22.74040886	15.43748899	15.00866985	16.18912703
Gabra1	172.9570525	193.8897794	127.5736937	99.004559	82.40054034	94.1720461	156.8473606	108.2106567	103.6962644	128.0739827	150.0866985	131.3118081
Brf2	28.58794257	32.01849568	20.0115598	32.65043967	30.60591498	25.89731268	25.96094244	30.38792414	35.47503782	28.01618372	31.44673682	23.83399257
Gabbr2	122.928153	140.5256199	103.8099664	151.6665585	130.2713304	122.4236599	143.8668894	142.3044252	141.9001513	72.04161527	114.3517703	129.0633182
Dhx33	27.15854544	42.69132757	36.27095213	30.54395969	35.31451729	27.07446326	29.20606024	33.35259966	26.37887428	33.73377223	36.44962677	34.62674392
Dock11	18.58216267	32.90789833	16.25939234	17.90507982	25.89731268	17.65725864	21.6341187	20.0115598	17.28271073	25.15738946	25.72914831	32.37825405
Vmn1r205	17.15276554	22.23506644	16.25939234	22.11803978	20.40394332	21.18871037	16.22558902	26.68207973	27.28849063	26.87266601	17.8674641	22.93459662
Scml4	25.72914831	25.79267707	18.76083731	23.17127977	25.11254563	23.54301153	23.79753057	25.19974197	20.92117615	21.1550775	20.0115598	25.18308649
Hsbp1	51.45829662	63.14758869	68.7897368	52.66199947	61.99659702	50.61747478	53.00359081	59.29351051	49.11928314	46.88422581	67.8963636	64.75650811
Polr2h	55.74648801	48.91714617	33.76950716	52.66199947	49.4403242	36.49166787	49.75847301	48.17597729	55.48659762	46.88422581	41.45251672	45.86919324
Abhd12b	24.29975118	15.11984518	18.76083731	27.38423972	22.75824448	11.77150576	22.71582463	28.90558637	18.19232709	25.15738946	19.29686123	18.43761689
Rps26	138.6515215	145.8620359	127.5736937	148.5068385	140.4733021	140.0809186	126.5595944	157.1278029	129.1655223	136.0786066	148.6573014	150.6488209
Hdac6	38.59372247	33.79730099	23.76372726	30.54395969	31.39068203	27.07446326	36.77800179	33.35259966	30.92695605	36.02080763	36.44962677	32.37825405
Fscn1	61.46407652	77.37803122	83.79840665	65.30087934	76.12240393	92.99489553	89.7815926	81.52857695	100.9674153	48.02774351	84.33443057	73.75046757
Sgo1	30.0173397	31.12909302	20.0115598	22.11803978	31.39068203	27.07446326	25.96094244	18.52922203	22.74040886	24.01387176	22.15565549	21.5855027
Olfr354	27.15854544	14.23044252	11.25650239	18.95831981	19.61917627	21.18871037	28.12435431	26.68207973	28.19810699	28.01618372	23.58505262	20.68610676
